filename,full_path,deployment_id,timestamp,temperature,confidence,extraction_status,outlier_type,suggested_action
SC11_20240108080501.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/SC11/SC11_20240108080501.JPG,SC11,20240108080501,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
SC11_20240108081501.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/SC11/SC11_20240108081501.JPG,SC11,20240108081501,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
SC11_20240108082501.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/SC11/SC11_20240108082501.JPG,SC11,20240108082501,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
SC11_20240108083501.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/SC11/SC11_20240108083501.JPG,SC11,20240108083501,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106043001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106043001.JPG,UDMH1,20240106043001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106063001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106063001.JPG,UDMH1,20240106063001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106064003.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106064003.JPG,UDMH1,20240106064003,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106065001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106065001.JPG,UDMH1,20240106065001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106070001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106070001.JPG,UDMH1,20240106070001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106071001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106071001.JPG,UDMH1,20240106071001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106072001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106072001.JPG,UDMH1,20240106072001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106073001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106073001.JPG,UDMH1,20240106073001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106074001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106074001.JPG,UDMH1,20240106074001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106075001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106075001.JPG,UDMH1,20240106075001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106080001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106080001.JPG,UDMH1,20240106080001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106081001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106081001.JPG,UDMH1,20240106081001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106082001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106082001.JPG,UDMH1,20240106082001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106083001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106083001.JPG,UDMH1,20240106083001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106084001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106084001.JPG,UDMH1,20240106084001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106085001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106085001.JPG,UDMH1,20240106085001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240106090001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240106090001.JPG,UDMH1,20240106090001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112055001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112055001.JPG,UDMH1,20240112055001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112060001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112060001.JPG,UDMH1,20240112060001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112061001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112061001.JPG,UDMH1,20240112061001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112062001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112062001.JPG,UDMH1,20240112062001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112063001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112063001.JPG,UDMH1,20240112063001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112064001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112064001.JPG,UDMH1,20240112064001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112065001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112065001.JPG,UDMH1,20240112065001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112070001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112070001.JPG,UDMH1,20240112070001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112071001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112071001.JPG,UDMH1,20240112071001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112072001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112072001.JPG,UDMH1,20240112072001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112073001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112073001.JPG,UDMH1,20240112073001,0.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112074001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112074001.JPG,UDMH1,20240112074001,1.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
UDMH1_20240112075001.JPG,/Volumes/MediaVault/Masters/Camelot_Photos/UDMH1/UDMH1_20240112075001.JPG,UDMH1,20240112075001,2.0,1.0,manual_entry,low_temp,Review manually - likely OCR error
