filename,deployment_id,timestamp,temperature,confidence,extraction_status,outlier_type,suggested_action
SC3_20231122082001.JPG,SC3,20231122082001,43.0,0.6628087172660662,success,high_temp,Convert F to C: 6.1°C
SC3_20231124082001.JPG,SC3,20231124082001,71.0,0.4970447102472301,success,high_temp,Convert F to C: 21.7°C
SC4_20231210083001.JPG,SC4,20231210083001,49.0,0.4085517293079308,success,high_temp,Convert F to C: 9.4°C
SC4_20231222102001.JPG,SC4,20231222102001,48.0,0.430740845567985,success,high_temp,Convert F to C: 8.9°C
SC4_20231222105001.JPG,SC4,20231222105001,49.0,0.3917297697359853,success,high_temp,Convert F to C: 9.4°C
SC4_20231224101001.JPG,SC4,20231224101001,49.0,0.3934271263792319,success,high_temp,Convert F to C: 9.4°C
SC4_20231224103001.JPG,SC4,20231224103001,49.0,0.3611263489978596,success,high_temp,Convert F to C: 9.4°C
SC9_20240128111001.JPG,SC9,20240128111001,35.0,0.7725106550379752,success,high_temp,Review manually
SC9_20240128112001.JPG,SC9,20240128112001,36.0,0.8487997979686208,success,high_temp,Review manually
SC9_20240128113001.JPG,SC9,20240128113001,37.0,0.7670459164097033,success,high_temp,Review manually
SC9_20240128114001.JPG,SC9,20240128114001,37.0,0.4568746455947924,success,high_temp,Review manually
SC9_20240128115001.JPG,SC9,20240128115001,37.0,0.3766810552702996,success,high_temp,Review manually
SC9_20240128120001.JPG,SC9,20240128120001,37.0,0.3565447896001834,success,high_temp,Review manually
SC9_20240128121001.JPG,SC9,20240128121001,37.0,0.7269366356378838,success,high_temp,Review manually
SC9_20240128122001.JPG,SC9,20240128122001,37.0,0.4832082392682791,success,high_temp,Review manually
SC9_20240128123001.JPG,SC9,20240128123001,36.0,0.6429755296922911,success,high_temp,Review manually
SC9_20240128124001.JPG,SC9,20240128124001,36.0,0.6835675040375584,success,high_temp,Review manually
SC9_20240128125001.JPG,SC9,20240128125001,36.0,0.7340903304841001,success,high_temp,Review manually
SC9_20240128130001.JPG,SC9,20240128130001,35.0,0.6108748316059404,success,high_temp,Review manually
SC9_20240128131001.JPG,SC9,20240128131001,35.0,0.3805662739053349,success,high_temp,Review manually
SC9_20240128132001.JPG,SC9,20240128132001,35.0,0.4994649183297213,success,high_temp,Review manually
SC9_20240128133001.JPG,SC9,20240128133001,35.0,0.3210041186071776,success,high_temp,Review manually
SC9_20240128134001.JPG,SC9,20240128134001,35.0,0.5390496170728539,success,high_temp,Review manually
SC9_20240128135001.JPG,SC9,20240128135001,35.0,0.465610530000109,success,high_temp,Review manually
SLC6_1_20231205121001.JPG,SLC6_1,20231205121001,35.0,0.6089772770012013,success,high_temp,Review manually
SLC6_1_20231205122001.JPG,SLC6_1,20231205122001,35.0,0.3929481849825562,success,high_temp,Review manually
SLC6_1_20231205123001.JPG,SLC6_1,20231205123001,36.0,0.8437414614332694,success,high_temp,Review manually
SLC6_1_20231205124001.JPG,SLC6_1,20231205124001,35.0,0.6501294723231741,success,high_temp,Review manually
SLC6_1_20231205125001.JPG,SLC6_1,20231205125001,36.0,0.4095223244114028,success,high_temp,Review manually
SLC6_2_20231211101201.JPG,SLC6_2,20231211101201,48.0,0.2448671180264819,success,high_temp,Convert F to C: 8.9°C
SLC6_2_20231213101201.JPG,SLC6_2,20231213101201,46.0,0.1887135868285301,success,high_temp,Convert F to C: 7.8°C
SLC6_2_20240104100201.JPG,SLC6_2,20240104100201,72.0,0.2192813019037812,success,high_temp,Convert F to C: 22.2°C
SLC6_2_20240105083201.JPG,SLC6_2,20240105083201,70.0,0.659881140099339,success,high_temp,Convert F to C: 21.1°C
UDMH1_20240108074001.JPG,UDMH1,20240108074001,59.0,0.3824707230249156,success,high_temp,Convert F to C: 15.0°C
UDMH1_20240108081001.JPG,UDMH1,20240108081001,42.0,0.0586432878472224,success,high_temp,Convert F to C: 5.6°C
UDMH2_20240105152001.JPG,UDMH2,20240105152001,49.0,0.4301636145928209,success,high_temp,Convert F to C: 9.4°C
SC1_20231205105001.JPG,SC1,20231205105001,1.0,0.9659863991589686,success,low_temp,Review manually - likely OCR error
SC1_20231215103001.JPG,SC1,20231215103001,1.0,0.9507703297777276,success,low_temp,Review manually - likely OCR error
SC10_20240109101604.JPG,SC10,20240109101604,1.0,0.911022564960638,success,low_temp,Review manually - likely OCR error
SC10_20240126081604.JPG,SC10,20240126081604,1.0,0.7898916741931927,success,low_temp,Review manually - likely OCR error
SC10_20240128094001.JPG,SC10,20240128094001,0.0,0.4733707287876884,success,low_temp,Review manually - likely OCR error
SC10_20240128101001.JPG,SC10,20240128101001,1.0,0.6358420780545438,success,low_temp,Review manually - likely OCR error
SC11_20240108054501.JPG,SC11,20240108054501,2.0,0.3992134632511094,success,low_temp,Review manually - likely OCR error
SC11_20240108055501.JPG,SC11,20240108055501,2.0,0.4225571910740916,success,low_temp,Review manually - likely OCR error
SC11_20240108060501.JPG,SC11,20240108060501,2.0,0.4333706819137546,success,low_temp,Review manually - likely OCR error
SC11_20240108061501.JPG,SC11,20240108061501,2.0,0.4785450524065383,success,low_temp,Review manually - likely OCR error
SC11_20240108062501.JPG,SC11,20240108062501,2.0,0.4956778397592036,success,low_temp,Review manually - likely OCR error
SC11_20240108065501.JPG,SC11,20240108065501,2.0,0.8080273406296692,success,low_temp,Review manually - likely OCR error
SC11_20240108071501.JPG,SC11,20240108071501,2.0,0.5333873951249288,success,low_temp,Review manually - likely OCR error
SC11_20240108072501.JPG,SC11,20240108072501,2.0,0.864912709533958,success,low_temp,Review manually - likely OCR error
