"Interval","AIC","N","Converged"
10,1343.45093178808,298,TRUE
20,682.847595854864,149,TRUE
30,468.603597901028,99,TRUE
60,234.913566115904,50,TRUE
90,156.227572153927,33,TRUE
120,116.140957091037,25,TRUE
