"Interval","Mean_Raw_RMSE","SD_Raw_RMSE","Min_Raw_RMSE","Max_Raw_RMSE","Mean_Period_RMSE","SD_Period_RMSE","Min_Period_RMSE","Max_Period_RMSE","N_Permutations"
20,0,0,0,0,3.14222481480433,0.02080916246161,3.12751051491691,3.15693911469174,2
30,0,0,0,0,5.2068574231559,2.42413446191757,2.47851667564111,7.11282615750902,3
60,0,0,0,0,8.34501615461326,3.76006114222482,3.92341419864722,14.1093003665634,6
90,0,0,0,0,16.9669772756245,6.72705407180195,8.33496990476783,30.5362016228255,9
120,0,0,0,0,19.0257904030617,3.32133414086499,14.925492423344,24.0046894724237,12
