"Interval","Mean_Raw_RMSE","SD_Raw_RMSE","Min_Raw_RMSE","Max_Raw_RMSE","Mean_Raw_RMSE_No_Outlier","SD_Raw_RMSE_No_Outlier","Min_Raw_RMSE_No_Outlier","Max_Raw_RMSE_No_Outlier","Mean_Period_RMSE","SD_Period_RMSE","Min_Period_RMSE","Max_Period_RMSE","Mean_Period_RMSE_No_Outlier","SD_Period_RMSE_No_Outlier","Min_Period_RMSE_No_Outlier","Max_Period_RMSE_No_Outlier","N_Permutations"
20,0,0,0,0,0,0,0,0,3.14222481480433,0.02080916246161,3.12751051491691,3.15693911469174,1.79769073511801,0.0409194131993495,1.76875634056258,1.82662512967344,2
30,0,0,0,0,0,0,0,0,5.2068574231559,2.42413446191757,2.47851667564111,7.11282615750902,1.66228632220179,0.221348006744034,1.52983095928206,1.91781963673925,3
60,0,0,0,0,0,0,0,0,8.34501615461326,3.76006114222482,3.92341419864722,14.1093003665634,4.50851165492087,1.1011898546427,2.63707359188315,5.6160646177013,6
90,0,0,0,0,0,0,0,0,16.9669772756245,6.72705407180195,8.33496990476783,30.5362016228255,9.07968779618231,2.82766660811326,5.39722957527045,13.7364574435747,9
120,0,0,0,0,0,0,0,0,19.0257904030617,3.32133414086499,14.925492423344,24.0046894724237,10.8087292799482,4.30200060954674,5.3219599208276,17.6318377809856,12
